epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,539.263,0.60344,2.39024,1.1505,0.51428,0.6056,0.61431,0.51761,0.58376,2.14769,0.92977,0.000330303,0.000330303,0.000330303
2,1072.39,0.64036,1.58666,1.14581,0.55082,0.58352,0.57785,0.42517,0.71175,2.84756,1.04731,0.000650496,0.000650496,0.000650496
3,1605.45,0.67292,1.47812,1.14841,0.6338,0.55646,0.62791,0.4486,0.8948,2.29472,1.20007,0.00095749,0.00095749,0.00095749
4,2138.44,0.65005,1.31181,1.12948,0.66204,0.65905,0.71821,0.54737,0.74815,1.71036,1.08324,0.0009406,0.0009406,0.0009406
5,2670.9,0.63141,1.2307,1.12388,0.76444,0.6298,0.75353,0.65462,0.56703,1.34224,0.8965,0.0009208,0.0009208,0.0009208
6,3203.96,0.62037,1.15302,1.11426,0.80173,0.72413,0.82795,0.70452,0.59412,1.06381,0.91298,0.000901,0.000901,0.000901
7,3736.66,0.60271,1.09115,1.10469,0.60242,0.7665,0.78323,0.68146,0.55498,1.2154,0.88106,0.0008812,0.0008812,0.0008812
8,4268.7,0.57377,1.0393,1.08123,0.78734,0.77823,0.86249,0.75644,0.52797,1.03117,0.86309,0.0008614,0.0008614,0.0008614
9,4801.38,0.58807,0.98435,1.08855,0.75316,0.78016,0.83721,0.74248,0.50753,0.97486,0.8446,0.0008416,0.0008416,0.0008416
10,5334.45,0.57849,0.98383,1.08949,0.74897,0.81783,0.8478,0.74325,0.51803,0.88874,0.86954,0.0008218,0.0008218,0.0008218
11,5866.79,0.53902,0.88843,1.0653,0.81202,0.817,0.88612,0.78083,0.50764,0.78193,0.84394,0.000802,0.000802,0.000802
12,6399.72,0.53651,0.87706,1.06211,0.81696,0.804,0.87281,0.77031,0.53408,0.80913,0.85302,0.0007822,0.0007822,0.0007822
13,6933.11,0.53061,0.86435,1.06546,0.82403,0.80863,0.88172,0.78849,0.46606,0.76231,0.82268,0.0007624,0.0007624,0.0007624
14,7466.52,0.511,0.8409,1.04659,0.8282,0.83556,0.9122,0.8246,0.45521,0.72862,0.80703,0.0007426,0.0007426,0.0007426
15,8000.09,0.50371,0.8037,1.04353,0.79063,0.79034,0.89606,0.81703,0.44389,0.87513,0.80334,0.0007228,0.0007228,0.0007228
16,8533.21,0.5066,0.76863,1.04934,0.82643,0.87807,0.90975,0.82514,0.43161,0.69287,0.772,0.000703,0.000703,0.000703
17,9067.52,0.47395,0.68823,1.0219,0.87033,0.83581,0.91052,0.8226,0.4338,0.68253,0.792,0.0006832,0.0006832,0.0006832
18,9601.95,0.48256,0.71499,1.02975,0.81608,0.88201,0.90999,0.81947,0.44949,0.65222,0.80361,0.0006634,0.0006634,0.0006634
19,10136.2,0.49203,0.73231,1.03696,0.90684,0.86678,0.93213,0.8463,0.43969,0.58656,0.77804,0.0006436,0.0006436,0.0006436
